index,Entity,Code,Year,Prevalence in Males,Prevalence in Females,Population (historical estimates),Continent
26,Afghanistan,AFG,2015,4.65469638385,3.75467029797,34413603.0,Asia
545,Albania,ALB,2015,0.553948156475,0.502216749773,2890524.0,Europe
804,Algeria,DZA,2015,1.48915161098,1.13062308078,39728020.0,Africa
1063,American Samoa,ASM,2015,0.375396564187,0.351941016823,55806.0,Oceania
1205,Andorra,AND,2015,0.254538395124,0.323533719521,77993.0,Europe
1464,Angola,AGO,2015,0.326436171261,0.299692877102,27884380.0,Africa
1845,Antigua and Barbuda,ATG,2015,0.2261975670479999,0.241988705398,93571.0,North America
2104,Argentina,ARG,2015,0.481335563804,0.426617340202,43075416.0,South America
2363,Armenia,ARM,2015,0.596276250316,0.538267484347,2925559.0,Asia
3015,Australia,AUS,2015,0.182304929333,0.259605159344,23932499.0,Oceania
3274,Austria,AUT,2015,0.32973731078,0.387106153695,8678667.0,Europe
3534,Azerbaijan,AZE,2015,0.470308770877,0.428892970379,9622741.0,Asia
3794,Bahamas,BHS,2015,0.229296284198,0.246674299851,374200.0,North America
4052,Bahrain,BHR,2015,0.909725833229,0.716125833195,1371853.0,Asia
4311,Bangladesh,BGD,2015,0.47269825413,0.451353840508,156256287.0,Asia
4570,Barbados,BRB,2015,0.271839337262,0.2807152829,285327.0,North America
4822,Belarus,BLR,2015,0.4286478194759999,0.388174675637,9439424.0,Europe
5081,Belgium,BEL,2015,0.361700737025,0.4262216881639999,11287931.0,Europe
5340,Belize,BLZ,2015,0.362045615269,0.3603493245799999,360926.0,North America
5599,Benin,BEN,2015,0.630775937233,0.553916228587,10575962.0,Africa
5858,Bermuda,BMU,2015,0.136570625058,0.161991607478,63695.0,North America
5930,Bhutan,BTN,2015,0.937450076334,0.774626940257,727885.0,Asia
6189,Bolivia,BOL,2015,0.4084169920539999,0.421709252799,10869732.0,South America
6520,Bosnia and Herzegovina,BIH,2015,0.524205290928,0.4825106678149999,3429362.0,Europe
6779,Botswana,BWA,2015,0.264274367024,0.261221360691,2120716.0,Africa
7039,Brazil,BRA,2015,0.3221027085339999,0.323920088386,204471759.0,South America
7371,Brunei,BRN,2015,0.106867346768,0.087912476018,414914.0,Asia
7630,Bulgaria,BGR,2015,0.4505519100139999,0.419112363449,7199739.0,Europe
7889,Burkina Faso,BFA,2015,0.729378957653,0.6578179445319999,18110616.0,Africa
8148,Burundi,BDI,2015,1.1561292331200002,1.01967777555,10160034.0,Africa
8407,Cambodia,KHM,2015,1.38265595045,1.58078318587,15521435.0,Asia
8666,Cameroon,CMR,2015,0.448623905595,0.411244056136,23298376.0,Africa
8925,Canada,CAN,2015,0.591113371708,0.48352693235,36026668.0,North America
9184,Cape Verde,CPV,2015,0.316222763872,0.281304693529,524740.0,Africa
9517,Central African Republic,CAF,2015,0.8195087211719999,0.7091543525099999,4493171.0,Africa
9916,Chad,TCD,2015,0.671541093872,0.59977188779,14110971.0,Africa
10247,Chile,CHL,2015,0.446686715847,0.3910216919929999,17969356.0,South America
10506,China,CHN,2015,0.449172603047,0.33485137622,1406847868.0,Asia
10767,Colombia,COL,2015,0.323062529235,0.310905982168,47520667.0,South America
11026,Comoros,COM,2015,0.670926191804,0.5809326100419999,777435.0,Africa
11266,Congo,COG,2015,0.3501162088289999,0.321799842375,4856093.0,Africa
11597,Costa Rica,CRI,2015,0.281553823338,0.279062091761,4847805.0,North America
11856,Cote d'Ivoire,CIV,2015,0.50454218164,0.461371640342,23226148.0,Africa
12115,Croatia,HRV,2015,0.4109141614079999,0.382869936847,4232874.0,Europe
12374,Cuba,CUB,2015,0.360449979691,0.354853838496,11324777.0,North America
12705,Cyprus,CYP,2015,0.386635176498,0.439272859777,1160987.0,Europe
12964,Czechia,CZE,2015,0.347299001099,0.329783405296,10601390.0,Europe
13224,Democratic Republic of Congo,COD,2015,0.896733235334,0.758503661315,76244532.0,Africa
13483,Denmark,DNK,2015,0.134253492299,0.113154805002,5688695.0,Europe
13742,Djibouti,DJI,2015,0.612632356655,0.537884908665,913998.0,Africa
14001,Dominica,DMA,2015,0.309665059559,0.314063939373,71175.0,North America
14255,Dominican Republic,DOM,2015,0.283479355917,0.290819529685,10281675.0,North America
14599,Ecuador,ECU,2015,0.347703758144,0.352284410452,16212022.0,South America
14858,Egypt,EGY,2015,2.38515010832,2.00476845715,92442549.0,Africa
15117,El Salvador,SLV,2015,0.377066881059,0.3544723639759999,6325121.0,North America
15404,Equatorial Guinea,GNQ,2015,0.142055173475,0.151300099912,1168575.0,Africa
15663,Eritrea,ERI,2015,0.881426760621,0.767250431539,3342818.0,Africa
15923,Estonia,EST,2015,0.369004181406,0.335487904013,1315330.0,Europe
16182,Eswatini,SWZ,2015,0.324129239169,0.321064473346,1104038.0,Africa
16441,Ethiopia,ETH,2015,0.849709187957,0.7283652810450001,100835453.0,Africa
17182,Fiji,FJI,2015,0.578291398193,0.533434755867,868632.0,Oceania
17432,Finland,FIN,2015,0.506089422679,0.4987961170389999,5481128.0,Europe
17691,France,FRA,2015,0.370137434186,0.509101576703,64453194.0,Europe
18145,Gabon,GAB,2015,0.208350659543,0.204717350394,1947690.0,Africa
18404,Gambia,GMB,2015,0.5374274923129999,0.475218497137,2085860.0,Africa
18663,Georgia,GEO,2015,0.597244641418,0.542460161104,4024180.0,Asia
18922,Germany,DEU,2015,0.227750248892,0.246800599244,81787411.0,Europe
19181,Ghana,GHA,2015,0.422574138064,0.39265741233,27849203.0,Africa
19512,Greece,GRC,2015,0.411099272363,0.460942628029,10659737.0,Europe
19771,Greenland,GRL,2015,0.570335268462,0.469353967254,56378.0,North America
19875,Grenada,GRD,2015,0.296363370141,0.306136615879,109603.0,North America
20258,Guam,GUM,2015,0.244220891487,0.239001699171,161851.0,Oceania
20330,Guatemala,GTM,2015,0.428641426922,0.406893524319,16252425.0,North America
20590,Guinea,GIN,2015,0.577361235829,0.527559670766,11432096.0,Africa
20849,Guinea-Bissau,GNB,2015,0.538534412248,0.488201611929,1737207.0,Africa
21108,Guyana,GUY,2015,0.462079832968,0.457769581495,767433.0,South America
21367,Haiti,HTI,2015,0.7498053353859999,0.77221055185,10695540.0,North America
21740,Honduras,HND,2015,0.452266986091,0.429788263909,9112904.0,North America
22258,Hungary,HUN,2015,0.381225534548,0.36177913008,9777925.0,Europe
22517,Iceland,ISL,2015,0.340409832415,0.384845155797,330237.0,Europe
22776,India,IND,2015,4.751352128260001,4.28114322425,1310152392.0,Asia
23035,Indonesia,IDN,2015,0.769534053178,0.916445261083,258383257.0,Asia
23294,Iran,IRN,2015,1.28736958711,0.899356225418,78492208.0,Asia
23553,Iraq,IRQ,2015,1.51564424378,1.1674023735,35572269.0,Asia
23812,Ireland,IRL,2015,0.242588514755,0.455261580022,4652420.0,Europe
24143,Israel,ISR,2015,0.394411656582,0.446032648333,7978496.0,Asia
24402,Italy,ITA,2015,0.381880157692,0.435406482379,60578489.0,Europe
24661,Jamaica,JAM,2015,0.34308856133,0.345452886149,2891024.0,North America
24912,Japan,JPN,2015,0.369992153025,0.101458778021,127985139.0,Asia
25172,Jordan,JOR,2015,1.59292223303,1.19289397267,9266573.0,Asia
25431,Kazakhstan,KAZ,2015,0.409168025424,0.384471232566,17572010.0,Asia
25690,Kenya,KEN,2015,0.550989412609,0.493885386053,47878339.0,Africa
25949,Kiribati,KIR,2015,1.12447642157,0.975258885542,110927.0,Oceania
